id,text,Subject,Object,Sender,Receiver,Helper,Opponent
UgyYq1_Y6wiLc8zuNGp4AaABAg,"Look to the origin paperwork re establishing zionist goals, against palestine & her people- it was pre war designed, period.  Not just oh a happenstance that occured during any literal wars or even post any and all of zion wars...  Reading lessens perhaps for better understanding of zion intent???",audience/commenter,information,audience/commenter,,,
UgyY7MlbKJ3SDdK4Zwt4AaABAg,"Israeli  fighting men are a complete  and utter myth.  Man to man, these imports from USA and Europe couldn't fight their way out of a paper bag!!!!",israel/israelis,violence,,,,israel/israelis
Ugwm0T3qJE7yo2l-XxZ4AaABAg,"I was going to help, but Israel is managing well. Where did Hamas read “terrorize and kill those who disbelieve?” In the Koran of course. Israel’s just punishment is a consequence of the books instructions. Sad for the innocent (the ones who refuse to obey that book)",hamas,violence,hamas,israel/israelis,,israel/israelis
UgxtTIG_gbxZG3bKbdp4AaABAg,"This is too much whoever did this. Very2 vile. It has to be banned & the perpetrators should be in jail. Thats the problem with israel, never accountable for anything. Are we supposed to be scared now? Are iphones & ipads safe?",,security/safety,,,,
UgyAcx-vSqLHNLH8Ys14AaABAg,"Very interesting that the same EU human Rights monitor not speaking anything about Hamas animalistic attack against Israelis on Oct 7 2023 .

Entire world should be ashamed.",hamas,violence,hamas,israel/israelis,,
Ugx8KPi0vhbqk0UALtx4AaABAg,There is only one truth. You might have a distorted perception of it but it doesn't not affect truth itself. And there might be different distorted perceptions but still the truth remains the same. And you know deep down that this is true. You're welcome.,audience/commenter,information,,,,video creator
UgyJ9uctzEU_-W0yE8x4AaABAg,"Palestine is right, we always been right, Isreal has hidden evil intentions and every one who stands with it is misleaded by News, people, please wake up, they control the News, mainstream media and more, Palestine is innocent, wake up please",palestine/palestinians,information,,audience/commenter,,israel/israelis
UgwBJzDntih0v__O-Fl4AaABAg,Thank you so much for this!! I have been so confused and everything saying “a simple guide” was anything but simple 😅 my boyfriend and I would like to thank you for this insightful video you have shared!!,audience/commenter,information,video creator,audience/commenter,video creator,
Ugyh_wEIjWTHmFMaQeB4AaABAg,"Why suddenly shift the topic to the assassination of certain terrorist operatives.

Why not focus on the pagers' defect and cause of its explosion which you readily blame Israel for it?!

The assassination of terrorist operatives are just selective individuals targeted by the mossad whereas the pager defect is on a massive effect which by its cause is likely from a manufacture defect than a sabotage.

How can a sabotage be done in such a massive operation in a very short period of time which is done during it's actual deliveries as mentioned?",audience/commenter,information,video creator,audience/commenter,,video creator
Ugxkyy6RzLTZwAEEXZZ4AaABAg,Gaza only 25 miles north to the south but over 450 mi of terror tunnels The whole infrastructure of the city has been destroyed by Hamas not safe for anybody,palestine/palestinians,territory,,,,hamas
Ugzi2B8BARAZp4Wy-OJ4AaABAg,Hope the doctor is not a liar .Abuse? Was it consentual.Gazans Hamas were so occupied defending planning training was there time to rape Realistically i dont believe this .Sending Rockets to TelAviv .IDF has just killed cannibalistically 3 of their own.Hannibal Directive .Uppers i dont believe . Vitamins YES..,,,,,,
